iterations,time,steps,error,solutions
6,3112,5,6,1
25,3193,3,24,2
29,4311,3,27,3
30,7034,3,27,4
32,8352,3,28,5
46,6866,3,41,6
50,6356,3,44,7
55,5470,3,48,7
58,5956,3,50,8
60,9544,4,51,9
72,13320,3,62,10
78,11429,3,67,11
94,8433,4,82,12
